VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
hdbr_sexDE                            SCZ    2886     0.010901    0.0035126     0.023744      0.32309 hdbr_sexDE
hdbr_sexDE_femaleBiased               SCZ    1173   -0.0082101   -0.0017521     0.034965      0.59282 hdbr_sexDE_femaleBiased
hdbr_sexDE_maleBiased                 SCZ    1713     0.024841     0.006332      0.03088      0.21057 hdbr_sexDE_maleBiased
hdbr_pseudotimeDE                     SCZ   12060     0.067956     0.033974     0.015939   1.0121e-05 hdbr_pseudotimeDE
hdbr_pseudotimeDE_upRegulated         SCZ    6983     0.092591     0.041786     0.017955    1.271e-07 hdbr_pseudotimeDE_upRegulated
hdbr_pseudotimeDE_downRegula...       SCZ    5077   -0.0069398   -0.0028119     0.018846      0.64365 hdbr_pseudotimeDE_downRegulated
gtex_sexDE                            SCZ     923     0.092018     0.017513     0.040994     0.012401 gtex_sexDE
gtex_sexDE_femaleBiased               SCZ     305     0.052721     0.005843      0.06743      0.21715 gtex_sexDE_femaleBiased
gtex_sexDE_maleBiased                 SCZ     618      0.11318     0.017739      0.05121     0.013556 gtex_sexDE_maleBiased
gtex_pseudotimeDE                     SCZ    4236     0.074605     0.028202     0.020247   0.00011491 gtex_pseudotimeDE
gtex_pseudotimeDE_upRegulated         SCZ    2551     0.050161     0.015314     0.025714     0.025552 gtex_pseudotimeDE_upRegulated
gtex_pseudotimeDE_downRegula...       SCZ    1685     0.095294     0.024106     0.029977   0.00074067 gtex_pseudotimeDE_downRegulated
shared                                SCZ     636     0.093716     0.014895     0.049104     0.028173 shared
shared_femaleBiased                   SCZ     173     0.010305   0.00086244     0.085869      0.45224 shared_femaleBiased
shared_maleBiased                     SCZ     463       0.1344     0.018292     0.059888     0.012419 shared_maleBiased
prenatal_specific                     SCZ    1813     0.004244    0.0011105     0.029335      0.44248 prenatal_specific
prenatal_specific_femaleBias...       SCZ     767     0.013605    0.0023681     0.043529      0.37732 prenatal_specific_femaleBiased
prenatal_specific_maleBiased          SCZ    1046   -0.0032758  -0.00066196     0.038171      0.53419 prenatal_specific_maleBiased
hdbr_sexDE                            TS    2912    -0.019779   -0.0063503     0.018698      0.85492 hdbr_sexDE
hdbr_sexDE_femaleBiased               TS    1184    -0.028982   -0.0061617     0.027378       0.8551 hdbr_sexDE_femaleBiased
hdbr_sexDE_maleBiased                 TS    1728    -0.010573   -0.0026843       0.0243      0.66826 hdbr_sexDE_maleBiased
hdbr_pseudotimeDE                     TS   12232    -0.012331   -0.0061645     0.012459      0.83885 hdbr_pseudotimeDE
hdbr_pseudotimeDE_upRegulated         TS    7097   0.00055615    0.0002509     0.013979      0.48413 hdbr_pseudotimeDE_upRegulated
hdbr_pseudotimeDE_downRegula...       TS    5135    -0.017995   -0.0072749     0.014787      0.88817 hdbr_pseudotimeDE_downRegulated
gtex_sexDE                            TS     934     0.024338    0.0046198     0.032164      0.22462 gtex_sexDE
gtex_sexDE_femaleBiased               TS     307      0.00603   0.00066473     0.052937      0.45466 gtex_sexDE_femaleBiased
gtex_sexDE_maleBiased                 TS     627     0.034298    0.0053681     0.040057      0.19594 gtex_sexDE_maleBiased
gtex_pseudotimeDE                     TS    4304     0.013095    0.0049476     0.015922      0.20541 gtex_pseudotimeDE
gtex_pseudotimeDE_upRegulated         TS    2593    0.0096759    0.0029527     0.020114      0.31524 gtex_pseudotimeDE_upRegulated
gtex_pseudotimeDE_downRegula...       TS    1711      0.01545    0.0039046     0.023601      0.25636 gtex_pseudotimeDE_downRegulated
shared                                TS     642     0.021205    0.0033574     0.038324      0.29003 shared
shared_femaleBiased                   TS     175     0.024525    0.0020467       0.0662      0.35552 shared_femaleBiased
shared_maleBiased                     TS     467     0.019486    0.0026407     0.046946      0.33905 shared_maleBiased
prenatal_specific                     TS    1827    -0.010014   -0.0026086     0.023071      0.66787 prenatal_specific
prenatal_specific_femaleBias...       TS     772    -0.033149     -0.00574     0.034022      0.83505 prenatal_specific_femaleBiased
prenatal_specific_maleBiased          TS    1055    0.0090312    0.0018173     0.030319       0.3829 prenatal_specific_maleBiased
